#,Qty,Reference,Manufacturer Part Number,Value
1,1,BATT1,S2B-PH-K-S,S2B-PH-K-S
2,5,"C1,C2,C3,C4,C5",EMK105BJ105KV-F,1uF
3,1,J1,USB-C31-S-RA-CS1E-BK-T/R,USB-C31-S-RA-CS1E-BK-T/R
4,1,L1,VLS3012CX-220M-1,22uH
5,3,"LED1,LED2,LED3",SMS1105UWDW,SMS1105UWDW
6,4,"R1,R3,R4,R5",RC0402JR-0710KL,10k0
7,1,R2,CRCW04026R80FKED,6r8
8,1,R6,CR0603-FX-1201ELF,1k2
9,2,"R9,R10",RC0402JR-071K2L,5k1
10,1,S1,CL-SB-12C-12,CL-SB-12C-12
11,1,U1,PIC16F15213T-I/MF,PIC16F15213T-I/MF
12,1,U2,BQ21040DBVR,BQ21040DBVR
13,1,U3,TPS61158DRVR,TPS61158DRVR
